age_group,year,sex,edu,l_active,l_not_active
17,2022,F,H,0.65583435815887825,0.34416564184112175
22,2022,F,H,0.65583435815887825,0.34416564184112175
27,2022,F,H,0.8074282311565283,0.1925717688434717
32,2022,F,H,0.8420404265724074,0.1579595734275926
37,2022,F,H,0.854918122236728,0.14508187776327197
42,2022,F,H,0.8594594630462772,0.14054053695372282
47,2022,F,H,0.8491154563326848,0.15088454366731519
52,2022,F,H,0.8089549272898433,0.1910450727101567
57,2022,F,H,0.692014153329924,0.307985846670076
62,2022,F,H,0.3979462924063994,0.6020537075936006
67,2022,F,H,0.16099690640938188,0.8390030935906181
72,2022,F,H,0.11796952444757536,0.8820304755524246
77,2022,F,H,0.01,0.99
82,2022,F,H,0.01,0.99
87,2022,F,H,0.01,0.99
17,2022,F,L,0.13694764592414344,0.8630523540758566
22,2022,F,L,0.37207664024167975,0.6279233597583203
27,2022,F,L,0.5659342298212491,0.4340657701787509
32,2022,F,L,0.6237240897869059,0.37627591021309414
37,2022,F,L,0.6469373601089278,0.3530626398910722
42,2022,F,L,0.6553645000605147,0.3446354999394853
47,2022,F,L,0.6363546083335334,0.3636453916664666
52,2022,F,L,0.5683519640886505,0.4316480359113495
57,2022,F,L,0.41131040166702937,0.5886895983329706
62,2022,F,L,0.1704936000851339,0.8295063999148661
67,2022,F,L,0.056309621563543626,0.9436903784364564
72,2022,F,L,0.03992902367733273,0.9600709763226672
77,2022,F,L,0.01,0.99
82,2022,F,L,0.01,0.99
87,2022,F,L,0.01,0.99
17,2022,F,M,0.22272529259521295,0.777274707404787
22,2022,F,M,0.5169194592160384,0.48308054078396157
27,2022,F,M,0.7018878247482361,0.2981121752517639
32,2022,F,M,0.7495863518874968,0.2504136481125032
37,2022,F,M,0.7679240122536163,0.23207598774638372
42,2022,F,M,0.7744700782652358,0.22552992173476416
47,2022,F,M,0.7596202597058417,0.24037974029415832
52,2022,F,M,0.7039444433523092,0.2960555566476908
57,2022,F,M,0.5578574369499842,0.44214256305001576
62,2022,F,M,0.2706926678447578,0.7293073321552421
67,2022,F,M,0.09727194371224007,0.90272805628776
72,2022,F,M,0.06985740602334112,0.9301425939766589
77,2022,F,M,0.01,0.99
82,2022,F,M,0.01,0.99
87,2022,F,M,0.01,0.99
17,2022,M,H,0.7949653054202445,0.20503469457975554
22,2022,M,H,0.7949653054202445,0.20503469457975554
27,2022,M,H,0.8950804122173317,0.1049195877826683
32,2022,M,H,0.9155853760635563,0.08441462393644372
