projection,year,age,age_group,sex,pop
BSL,2022,1,3,F,26849.0
BSL,2023,1,3,F,27786.0
BSL,2024,1,3,F,27326.0
BSL,2025,1,3,F,26164.0
BSL,2026,1,3,F,25621.0
BSL,2027,1,3,F,25121.0
BSL,2028,1,3,F,24673.0
BSL,2029,1,3,F,24289.0
BSL,2030,1,3,F,23969.0
BSL,2031,1,3,F,23720.0
BSL,2032,1,3,F,23538.0
BSL,2033,1,3,F,23422.0
BSL,2034,1,3,F,23374.0
BSL,2035,1,3,F,23383.0
BSL,2036,1,3,F,23439.0
BSL,2037,1,3,F,23510.0
BSL,2038,1,3,F,23580.0
BSL,2039,1,3,F,23650.0
BSL,2040,1,3,F,23706.0
BSL,2041,1,3,F,23737.0
BSL,2042,1,3,F,23743.0
BSL,2043,1,3,F,23718.0
BSL,2044,1,3,F,23658.0
BSL,2045,1,3,F,23566.0
BSL,2046,1,3,F,23439.0
BSL,2047,1,3,F,23283.0
BSL,2048,1,3,F,23103.0
BSL,2049,1,3,F,22905.0
BSL,2050,1,3,F,22692.0
BSL,2051,1,3,F,22469.0
BSL,2052,1,3,F,22245.0
BSL,2053,1,3,F,22021.0
BSL,2054,1,3,F,21804.0
BSL,2055,1,3,F,21597.0
BSL,2056,1,3,F,21403.0
BSL,2057,1,3,F,21221.0
BSL,2058,1,3,F,21056.0
BSL,2059,1,3,F,20908.0
BSL,2060,1,3,F,20780.0
BSL,2061,1,3,F,20670.0
BSL,2062,1,3,F,20581.0
BSL,2063,1,3,F,20509.0
BSL,2064,1,3,F,20456.0
BSL,2065,1,3,F,20424.0
BSL,2066,1,3,F,20405.0
BSL,2067,1,3,F,20393.0
BSL,2068,1,3,F,20389.0
BSL,2069,1,3,F,20390.0
BSL,2070,1,3,F,20393.0
BSL,2071,1,3,F,20396.0
BSL,2072,1,3,F,20396.0
BSL,2073,1,3,F,20393.0
BSL,2074,1,3,F,20383.0
BSL,2075,1,3,F,20369.0
BSL,2076,1,3,F,20344.0
BSL,2077,1,3,F,20312.0
BSL,2078,1,3,F,20270.0
BSL,2079,1,3,F,20221.0
BSL,2080,1,3,F,20168.0
BSL,2081,1,3,F,20110.0
BSL,2082,1,3,F,20049.0
BSL,2083,1,3,F,19987.0
BSL,2084,1,3,F,19924.0
BSL,2085,1,3,F,19864.0
BSL,2086,1,3,F,19805.0
BSL,2087,1,3,F,19753.0
BSL,2088,1,3,F,19705.0
BSL,2089,1,3,F,19664.0
BSL,2090,1,3,F,19631.0
BSL,2091,1,3,F,19605.0
BSL,2092,1,3,F,19587.0
BSL,2093,1,3,F,19578.0
BSL,2094,1,3,F,19577.0
BSL,2095,1,3,F,19583.0
BSL,2096,1,3,F,19597.0
BSL,2097,1,3,F,19617.0
BSL,2098,1,3,F,19643.0
BSL,2099,1,3,F,19672.0
BSL,2100,1,3,F,19705.0
BSL,2022,10,12,F,31081.0
BSL,2023,10,12,F,32190.0
BSL,2024,10,12,F,31840.0
BSL,2025,10,12,F,32651.0
BSL,2026,10,12,F,31634.0
BSL,2027,10,12,F,31490.0
BSL,2028,10,12,F,30801.0
BSL,2029,10,12,F,29616.0
BSL,2030,10,12,F,29340.0
BSL,2031,10,12,F,28086.0
BSL,2032,10,12,F,27844.0
BSL,2033,10,12,F,27203.0
BSL,2034,10,12,F,26049.0
BSL,2035,10,12,F,25982.0
BSL,2036,10,12,F,25519.0
BSL,2037,10,12,F,25117.0
BSL,2038,10,12,F,24793.0
BSL,2039,10,12,F,24500.0
BSL,2040,10,12,F,24294.0
BSL,2041,10,12,F,24154.0
BSL,2042,10,12,F,24079.0
BSL,2043,10,12,F,24060.0
BSL,2044,10,12,F,24079.0
BSL,2045,10,12,F,24149.0
BSL,2046,10,12,F,24231.0
BSL,2047,10,12,F,24314.0
BSL,2048,10,12,F,24390.0
BSL,2049,10,12,F,24450.0
BSL,2050,10,12,F,24485.0
BSL,2051,10,12,F,24494.0
BSL,2052,10,12,F,24474.0
BSL,2053,10,12,F,24420.0
BSL,2054,10,12,F,24334.0
BSL,2055,10,12,F,24214.0
BSL,2056,10,12,F,24066.0
BSL,2057,10,12,F,23892.0
BSL,2058,10,12,F,23697.0
BSL,2059,10,12,F,23486.0
BSL,2060,10,12,F,23263.0
BSL,2061,10,12,F,23033.0
BSL,2062,10,12,F,22806.0
BSL,2063,10,12,F,22582.0
BSL,2064,10,12,F,22369.0
BSL,2065,10,12,F,22172.0
BSL,2066,10,12,F,21991.0
BSL,2067,10,12,F,21828.0
BSL,2068,10,12,F,21685.0
BSL,2069,10,12,F,21564.0
BSL,2070,10,12,F,21465.0
BSL,2071,10,12,F,21388.0
BSL,2072,10,12,F,21333.0
BSL,2073,10,12,F,21295.0
BSL,2074,10,12,F,21276.0
BSL,2075,10,12,F,21271.0
BSL,2076,10,12,F,21275.0
BSL,2077,10,12,F,21286.0
BSL,2078,10,12,F,21301.0
BSL,2079,10,12,F,21318.0
BSL,2080,10,12,F,21333.0
BSL,2081,10,12,F,21345.0
BSL,2082,10,12,F,21351.0
BSL,2083,10,12,F,21350.0
BSL,2084,10,12,F,21342.0
BSL,2085,10,12,F,21324.0
BSL,2086,10,12,F,21296.0
BSL,2087,10,12,F,21261.0
BSL,2088,10,12,F,21218.0
BSL,2089,10,12,F,21169.0
BSL,2090,10,12,F,21115.0
BSL,2091,10,12,F,21059.0
BSL,2092,10,12,F,20999.0
BSL,2093,10,12,F,20941.0
BSL,2094,10,12,F,20884.0
BSL,2095,10,12,F,20831.0
BSL,2096,10,12,F,20783.0
BSL,2097,10,12,F,20741.0
BSL,2098,10,12,F,20706.0
BSL,2099,10,12,F,20679.0
BSL,2100,10,12,F,20660.0
BSL,2022,11,12,F,31426.0
BSL,2023,11,12,F,32733.0
BSL,2024,11,12,F,32459.0
BSL,2025,11,12,F,31678.0
BSL,2026,11,12,F,32505.0
BSL,2027,11,12,F,31494.0
BSL,2028,11,12,F,31364.0
BSL,2029,11,12,F,30693.0
BSL,2030,11,12,F,29532.0
BSL,2031,11,12,F,29271.0
BSL,2032,11,12,F,28031.0
BSL,2033,11,12,F,27802.0
BSL,2034,11,12,F,27177.0
BSL,2035,11,12,F,26070.0
BSL,2036,11,12,F,26002.0
BSL,2037,11,12,F,25540.0
BSL,2038,11,12,F,25139.0
BSL,2039,11,12,F,24818.0
BSL,2040,11,12,F,24529.0
BSL,2041,11,12,F,24323.0
BSL,2042,11,12,F,24184.0
BSL,2043,11,12,F,24109.0
BSL,2044,11,12,F,24090.0
BSL,2045,11,12,F,24111.0
BSL,2046,11,12,F,24179.0
BSL,2047,11,12,F,24262.0
BSL,2048,11,12,F,24346.0
BSL,2049,11,12,F,24423.0
BSL,2050,11,12,F,24483.0
BSL,2051,11,12,F,24520.0
BSL,2052,11,12,F,24531.0
BSL,2053,11,12,F,24510.0
BSL,2054,11,12,F,24458.0
BSL,2055,11,12,F,24372.0
BSL,2056,11,12,F,24252.0
BSL,2057,11,12,F,24102.0
BSL,2058,11,12,F,23927.0
BSL,2059,11,12,F,23731.0
BSL,2060,11,12,F,23519.0
BSL,2061,11,12,F,23295.0
BSL,2062,11,12,F,23068.0
BSL,2063,11,12,F,22839.0
BSL,2064,11,12,F,22617.0
BSL,2065,11,12,F,22407.0
BSL,2066,11,12,F,22211.0
BSL,2067,11,12,F,22030.0
BSL,2068,11,12,F,21868.0
BSL,2069,11,12,F,21727.0
BSL,2070,11,12,F,21608.0
BSL,2071,11,12,F,21511.0
BSL,2072,11,12,F,21436.0
BSL,2073,11,12,F,21381.0
BSL,2074,11,12,F,21346.0
BSL,2075,11,12,F,21329.0
BSL,2076,11,12,F,21324.0
BSL,2077,11,12,F,21329.0
BSL,2078,11,12,F,21340.0
BSL,2079,11,12,F,21356.0
BSL,2080,11,12,F,21374.0
BSL,2081,11,12,F,21390.0
BSL,2082,11,12,F,21403.0
BSL,2083,11,12,F,21410.0
BSL,2084,11,12,F,21410.0
BSL,2085,11,12,F,21401.0
BSL,2086,11,12,F,21384.0
BSL,2087,11,12,F,21358.0
BSL,2088,11,12,F,21322.0
BSL,2089,11,12,F,21280.0
BSL,2090,11,12,F,21231.0
BSL,2091,11,12,F,21177.0
BSL,2092,11,12,F,21121.0
BSL,2093,11,12,F,21063.0
BSL,2094,11,12,F,21006.0
BSL,2095,11,12,F,20950.0
BSL,2096,11,12,F,20897.0
BSL,2097,11,12,F,20850.0
BSL,2098,11,12,F,20809.0
BSL,2099,11,12,F,20774.0
BSL,2100,11,12,F,20747.0
BSL,2022,12,12,F,33272.0
BSL,2023,12,12,F,33063.0
BSL,2024,12,12,F,32992.0
BSL,2025,12,12,F,32284.0
BSL,2026,12,12,F,31523.0
BSL,2027,12,12,F,32362.0
BSL,2028,12,12,F,31359.0
BSL,2029,12,12,F,31245.0
BSL,2030,12,12,F,30590.0
BSL,2031,12,12,F,29451.0
BSL,2032,12,12,F,29203.0
BSL,2033,12,12,F,27977.0
BSL,2034,12,12,F,27763.0
BSL,2035,12,12,F,27189.0
BSL,2036,12,12,F,26083.0
BSL,2037,12,12,F,26016.0
BSL,2038,12,12,F,25554.0
BSL,2039,12,12,F,25157.0
BSL,2040,12,12,F,24838.0
BSL,2041,12,12,F,24548.0
BSL,2042,12,12,F,24344.0
BSL,2043,12,12,F,24206.0
BSL,2044,12,12,F,24131.0
BSL,2045,12,12,F,24113.0
BSL,2046,12,12,F,24133.0
BSL,2047,12,12,F,24202.0
BSL,2048,12,12,F,24284.0
BSL,2049,12,12,F,24370.0
BSL,2050,12,12,F,24448.0
BSL,2051,12,12,F,24508.0
BSL,2052,12,12,F,24546.0
BSL,2053,12,12,F,24558.0
BSL,2054,12,12,F,24539.0
BSL,2055,12,12,F,24487.0
BSL,2056,12,12,F,24401.0
BSL,2057,12,12,F,24279.0
BSL,2058,12,12,F,24128.0
BSL,2059,12,12,F,23953.0
BSL,2060,12,12,F,23757.0
BSL,2061,12,12,F,23544.0
BSL,2062,12,12,F,23321.0
BSL,2063,12,12,F,23093.0
BSL,2064,12,12,F,22866.0
BSL,2065,12,12,F,22648.0
BSL,2066,12,12,F,22439.0
BSL,2067,12,12,F,22243.0
BSL,2068,12,12,F,22063.0
BSL,2069,12,12,F,21902.0
BSL,2070,12,12,F,21763.0
BSL,2071,12,12,F,21646.0
BSL,2072,12,12,F,21549.0
BSL,2073,12,12,F,21476.0
BSL,2074,12,12,F,21423.0
BSL,2075,12,12,F,21390.0
BSL,2076,12,12,F,21373.0
BSL,2077,12,12,F,21369.0
BSL,2078,12,12,F,21374.0
BSL,2079,12,12,F,21386.0
BSL,2080,12,12,F,21404.0
BSL,2081,12,12,F,21423.0
BSL,2082,12,12,F,21439.0
BSL,2083,12,12,F,21452.0
BSL,2084,12,12,F,21460.0
BSL,2085,12,12,F,21460.0
BSL,2086,12,12,F,21452.0
BSL,2087,12,12,F,21436.0
BSL,2088,12,12,F,21410.0
BSL,2089,12,12,F,21374.0
BSL,2090,12,12,F,21333.0
BSL,2091,12,12,F,21284.0
BSL,2092,12,12,F,21231.0
BSL,2093,12,12,F,21176.0
BSL,2094,12,12,F,21119.0
BSL,2095,12,12,F,21061.0
BSL,2096,12,12,F,21006.0
BSL,2097,12,12,F,20954.0
BSL,2098,12,12,F,20908.0
BSL,2099,12,12,F,20868.0
BSL,2100,12,12,F,20835.0
BSL,2022,13,12,F,31640.0
BSL,2023,13,12,F,34765.0
BSL,2024,13,12,F,33278.0
BSL,2025,13,12,F,32791.0
BSL,2026,13,12,F,32098.0
BSL,2027,13,12,F,31356.0
BSL,2028,13,12,F,32204.0
BSL,2029,13,12,F,31212.0
BSL,2030,13,12,F,31115.0
BSL,2031,13,12,F,30474.0
BSL,2032,13,12,F,29354.0
BSL,2033,13,12,F,29119.0
BSL,2034,13,12,F,27910.0
BSL,2035,13,12,F,27752.0
BSL,2036,13,12,F,27179.0
BSL,2037,13,12,F,26073.0
BSL,2038,13,12,F,26007.0
BSL,2039,13,12,F,25549.0
BSL,2040,13,12,F,25153.0
BSL,2041,13,12,F,24835.0
BSL,2042,13,12,F,24547.0
BSL,2043,13,12,F,24344.0
BSL,2044,13,12,F,24206.0
BSL,2045,13,12,F,24132.0
BSL,2046,13,12,F,24113.0
BSL,2047,13,12,F,24134.0
BSL,2048,13,12,F,24203.0
BSL,2049,13,12,F,24287.0
BSL,2050,13,12,F,24374.0
BSL,2051,13,12,F,24453.0
BSL,2052,13,12,F,24515.0
BSL,2053,13,12,F,24554.0
BSL,2054,13,12,F,24566.0
BSL,2055,13,12,F,24548.0
BSL,2056,13,12,F,24496.0
BSL,2057,13,12,F,24408.0
BSL,2058,13,12,F,24286.0
BSL,2059,13,12,F,24136.0
BSL,2060,13,12,F,23960.0
BSL,2061,13,12,F,23763.0
BSL,2062,13,12,F,23552.0
BSL,2063,13,12,F,23329.0
BSL,2064,13,12,F,23102.0
BSL,2065,13,12,F,22878.0
BSL,2066,13,12,F,22661.0
BSL,2067,13,12,F,22452.0
BSL,2068,13,12,F,22257.0
BSL,2069,13,12,F,22078.0
BSL,2070,13,12,F,21920.0
BSL,2071,13,12,F,21782.0
BSL,2072,13,12,F,21667.0
BSL,2073,13,12,F,21572.0
BSL,2074,13,12,F,21501.0
BSL,2075,13,12,F,21450.0
BSL,2076,13,12,F,21418.0
BSL,2077,13,12,F,21401.0
BSL,2078,13,12,F,21398.0
BSL,2079,13,12,F,21404.0
BSL,2080,13,12,F,21419.0
BSL,2081,13,12,F,21437.0
BSL,2082,13,12,F,21456.0
BSL,2083,13,12,F,21474.0
BSL,2084,13,12,F,21488.0
BSL,2085,13,12,F,21496.0
BSL,2086,13,12,F,21496.0
BSL,2087,13,12,F,21489.0
BSL,2088,13,12,F,21473.0
BSL,2089,13,12,F,21447.0
BSL,2090,13,12,F,21413.0
BSL,2091,13,12,F,21372.0
BSL,2092,13,12,F,21324.0
BSL,2093,13,12,F,21272.0
BSL,2094,13,12,F,21217.0
BSL,2095,13,12,F,21162.0
BSL,2096,13,12,F,21105.0
BSL,2097,13,12,F,21051.0
BSL,2098,13,12,F,21000.0
BSL,2099,13,12,F,20954.0
BSL,2100,13,12,F,20915.0
BSL,2022,14,12,F,30438.0
BSL,2023,14,12,F,32969.0
BSL,2024,14,12,F,34958.0
BSL,2025,14,12,F,33098.0
BSL,2026,14,12,F,32613.0
BSL,2027,14,12,F,31931.0
BSL,2028,14,12,F,31202.0
BSL,2029,14,12,F,32065.0
BSL,2030,14,12,F,31082.0
BSL,2031,14,12,F,31000.0
BSL,2032,14,12,F,30371.0
BSL,2033,14,12,F,29272.0
BSL,2034,14,12,F,29051.0
BSL,2035,14,12,F,27902.0
BSL,2036,14,12,F,27745.0
BSL,2037,14,12,F,27172.0
BSL,2038,14,12,F,26068.0
BSL,2039,14,12,F,26006.0
BSL,2040,14,12,F,25551.0
BSL,2041,14,12,F,25155.0
BSL,2042,14,12,F,24839.0
BSL,2043,14,12,F,24551.0
BSL,2044,14,12,F,24348.0
BSL,2045,14,12,F,24211.0
BSL,2046,14,12,F,24137.0
BSL,2047,14,12,F,24118.0
BSL,2048,14,12,F,24140.0
BSL,2049,14,12,F,24210.0
BSL,2050,14,12,F,24296.0
BSL,2051,14,12,F,24383.0
BSL,2052,14,12,F,24464.0
BSL,2053,14,12,F,24526.0
BSL,2054,14,12,F,24566.0
BSL,2055,14,12,F,24580.0
BSL,2056,14,12,F,24561.0
BSL,2057,14,12,F,24507.0
BSL,2058,14,12,F,24419.0
BSL,2059,14,12,F,24297.0
BSL,2060,14,12,F,24146.0
BSL,2061,14,12,F,23970.0
BSL,2062,14,12,F,23775.0
BSL,2063,14,12,F,23563.0
BSL,2064,14,12,F,23341.0
BSL,2065,14,12,F,23118.0
BSL,2066,14,12,F,22895.0
BSL,2067,14,12,F,22678.0
BSL,2068,14,12,F,22470.0
BSL,2069,14,12,F,22277.0
BSL,2070,14,12,F,22101.0
BSL,2071,14,12,F,21944.0
BSL,2072,14,12,F,21808.0
BSL,2073,14,12,F,21694.0
BSL,2074,14,12,F,21602.0
BSL,2075,14,12,F,21532.0
BSL,2076,14,12,F,21482.0
BSL,2077,14,12,F,21450.0
BSL,2078,14,12,F,21435.0
BSL,2079,14,12,F,21432.0
BSL,2080,14,12,F,21440.0
BSL,2081,14,12,F,21455.0
BSL,2082,14,12,F,21474.0
BSL,2083,14,12,F,21494.0
BSL,2084,14,12,F,21512.0
BSL,2085,14,12,F,21527.0
BSL,2086,14,12,F,21535.0
BSL,2087,14,12,F,21537.0
BSL,2088,14,12,F,21529.0
BSL,2089,14,12,F,21514.0
BSL,2090,14,12,F,21489.0
BSL,2091,14,12,F,21456.0
BSL,2092,14,12,F,21415.0
BSL,2093,14,12,F,21369.0
BSL,2094,14,12,F,21318.0
BSL,2095,14,12,F,21263.0
BSL,2096,14,12,F,21208.0
BSL,2097,14,12,F,21152.0
BSL,2098,14,12,F,21099.0
BSL,2099,14,12,F,21049.0
BSL,2100,14,12,F,21005.0
BSL,2022,15,17,F,29997.0
BSL,2023,15,17,F,31635.0
BSL,2024,15,17,F,33120.0
BSL,2025,15,17,F,34770.0
BSL,2026,15,17,F,32906.0
BSL,2027,15,17,F,32421.0
BSL,2028,15,17,F,31750.0
BSL,2029,15,17,F,31039.0
BSL,2030,15,17,F,31915.0
BSL,2031,15,17,F,30942.0
BSL,2032,15,17,F,30874.0
BSL,2033,15,17,F,30257.0
BSL,2034,15,17,F,29178.0
BSL,2035,15,17,F,29021.0
BSL,2036,15,17,F,27873.0
BSL,2037,15,17,F,27717.0
BSL,2038,15,17,F,27145.0
BSL,2039,15,17,F,26044.0
BSL,2040,15,17,F,25984.0
BSL,2041,15,17,F,25530.0
BSL,2042,15,17,F,25137.0
BSL,2043,15,17,F,24821.0
BSL,2044,15,17,F,24534.0
BSL,2045,15,17,F,24332.0
BSL,2046,15,17,F,24195.0
BSL,2047,15,17,F,24122.0
BSL,2048,15,17,F,24104.0
BSL,2049,15,17,F,24128.0
BSL,2050,15,17,F,24199.0
BSL,2051,15,17,F,24285.0
BSL,2052,15,17,F,24375.0
BSL,2053,15,17,F,24456.0
BSL,2054,15,17,F,24520.0
BSL,2055,15,17,F,24561.0
BSL,2056,15,17,F,24575.0
BSL,2057,15,17,F,24556.0
BSL,2058,15,17,F,24503.0
BSL,2059,15,17,F,24415.0
BSL,2060,15,17,F,24293.0
BSL,2061,15,17,F,24141.0
BSL,2062,15,17,F,23966.0
BSL,2063,15,17,F,23771.0
BSL,2064,15,17,F,23561.0
BSL,2065,15,17,F,23343.0
BSL,2066,15,17,F,23121.0
BSL,2067,15,17,F,22899.0
BSL,2068,15,17,F,22683.0
BSL,2069,15,17,F,22477.0
BSL,2070,15,17,F,22286.0
BSL,2071,15,17,F,22112.0
BSL,2072,15,17,F,21957.0
BSL,2073,15,17,F,21822.0
BSL,2074,15,17,F,21711.0
BSL,2075,15,17,F,21620.0
BSL,2076,15,17,F,21552.0
BSL,2077,15,17,F,21503.0
BSL,2078,15,17,F,21473.0
BSL,2079,15,17,F,21458.0
BSL,2080,15,17,F,21457.0
BSL,2081,15,17,F,21466.0
BSL,2082,15,17,F,21482.0
BSL,2083,15,17,F,21503.0
BSL,2084,15,17,F,21523.0
BSL,2085,15,17,F,21542.0
BSL,2086,15,17,F,21557.0
BSL,2087,15,17,F,21567.0
BSL,2088,15,17,F,21569.0
BSL,2089,15,17,F,21563.0
BSL,2090,15,17,F,21548.0
