age_group,year,sex,edu_H,edu_M,edu_L
17,2022,F,0.012266107719938257,0.18078183693772118,0.8069520553423405
22,2022,F,0.12726723161675768,0.7214420025612741,0.15129076582196824
27,2022,F,0.34580602143723893,0.515903022551645,0.13829095601111602
32,2022,F,0.35968398581169725,0.49174530161481206,0.1485707125734907
37,2022,F,0.3341256167442398,0.5057920073996757,0.16008237585608456
42,2022,F,0.29770759333828994,0.5287833964103203,0.17350901025138976
47,2022,F,0.2664507427610357,0.5407670754311856,0.19278218180777862
52,2022,F,0.24041390887937616,0.5361101095325187,0.22347598158810517
57,2022,F,0.2172885014286215,0.517416188403563,0.2652953101678155
62,2022,F,0.19525241068530563,0.48607952741767135,0.31866806189702307
67,2022,F,0.17479608162619334,0.4417284271729984,0.3834754912008083
72,2022,F,0.17479608162619334,0.4417284271729984,0.3834754912008083
77,2022,F,0.17479608162619334,0.4417284271729984,0.3834754912008083
82,2022,F,0.17479608162619334,0.4417284271729984,0.3834754912008083
87,2022,F,0.17479608162619334,0.4417284271729984,0.3834754912008083
17,2022,M,0.010786749643539857,0.20524701345287247,0.7839662369035877
22,2022,M,0.10157344379459794,0.7615993701738848,0.1368271860315172
27,2022,M,0.28624117490474704,0.5803171113280806,0.13344171376717243
32,2022,M,0.29277710291964393,0.5614787743592284,0.1457441227211277
37,2022,M,0.26298519082552824,0.5792335028604363,0.15778130631403545
42,2022,M,0.2239712757630301,0.6048519927345682,0.17117673150240156
47,2022,M,0.19112444695588743,0.6183234671449261,0.1905520858991864
52,2022,M,0.16426944866817716,0.6139583872605342,0.22177216407128858
57,2022,M,0.14336975192185258,0.5927980215432207,0.2638322265349267
62,2022,M,0.12635793972700346,0.5566075233305474,0.3170345369424491
67,2022,M,0.11328787367246562,0.5054908857190631,0.38122124060847123
72,2022,M,0.11328787367246562,0.5054908857190631,0.38122124060847123
77,2022,M,0.11328787367246562,0.5054908857190631,0.38122124060847123
82,2022,M,0.11328787367246562,0.5054908857190631,0.38122124060847123
87,2022,M,0.11328787367246562,0.5054908857190631,0.38122124060847123
17,2023,F,0.012549063984473753,0.18088822786790051,0.8065627081476257
22,2023,F,0.1298997326324077,0.7194058391788221,0.15069442818877016
27,2023,F,0.3516546555300244,0.5114235019807011,0.13692184248927458
32,2023,F,0.3660260259156638,0.48702246195174315,0.14695151213259303
37,2023,F,0.3412162395832181,0.5005877113097785,0.1581960491070034
42,2023,F,0.30495908014673273,0.5235355223457485,0.1715053975075188
47,2023,F,0.2739192000700988,0.5355148951161579,0.19056590481374328
52,2023,F,0.24789715705488158,0.5311293787051864,0.22097346423993203
57,2023,F,0.22554731587801952,0.512350810526272,0.26210187359570847
62,2023,F,0.202957062798235,0.48186141829047985,0.31518151891128515
67,2023,F,0.18228878298159198,0.4382075590965258,0.3795036579218823
72,2023,F,0.18228878298159198,0.4382075590965258,0.3795036579218823
77,2023,F,0.18228878298159198,0.4382075590965258,0.3795036579218823
